SubjectName;FixationCount;FixationCountPerSec;FixationDurationMean;FixationDurationMedian;SaccadeRatio;SaccadeLengthAverage;TrialSequence;TrialID;TrialName;Column1;Snippet;Indentation;SubjectID
nly;267.0;3896786.0;143989000000000.0;119.0;561093000000000.0;1168119.0;0.0;13.0;Test2.jpg;;Test;Indent 2;b382cb61-c4bb-45b9-a314-c4f74187715a
nly;438.0;3456494.0;148132000000000.0;118.0;512019000000000.0;1651059.0;1.0;4.0;Main0.jpg;;Main;Indent 0;b382cb61-c4bb-45b9-a314-c4f74187715a
nly;187.0;3551959.0;155968000000000.0;119.0;553992000000000.0;1442682.0;2.0;10.0;Program4.jpg;;Program;Indent 4;b382cb61-c4bb-45b9-a314-c4f74187715a
nly;363.0;3679004.0;175094000000000.0;137.0;644170000000000.0;1328856.0;3.0;3.0;Do8.jpg;;Do;Indent 8;b382cb61-c4bb-45b9-a314-c4f74187715a
ny;212.0;3695054.0;173514000000000.0;150.0;641144000000000.0;1537634.0;0.0;0.0;Do0.jpg;;Do;Indent 0;3a03db20-3ac0-4220-8a6f-ebb73f052032
ny;211.0;3424324.0;194242000000000.0;148.0;665147000000000.0;1376112.0;1.0;9.0;Program2.jpg;;Program;Indent 2;3a03db20-3ac0-4220-8a6f-ebb73f052032
ny;291.0;3873905.0;154495000000000.0;136.0;598498000000000.0;1424765.0;2.0;6.0;Main4.jpg;;Main;Indent 4;3a03db20-3ac0-4220-8a6f-ebb73f052032
ny;203.0;3723131.0;167355000000000.0;148.0;623083000000000.0;1683597.0;3.0;15.0;Test8.jpg;;Test;Indent 8;3a03db20-3ac0-4220-8a6f-ebb73f052032
olw;462.0;3512106.0;209407000000000.0;171.0;735459000000000.0;1168553.0;0.0;13.0;Test2.jpg;;Test;Indent 2;b5ae633c-2a0f-4be2-b750-98e1f55cdade
olw;508.0;3462566.0;211419000000000.0;152.0;732053000000000.0;1168038.0;1.0;4.0;Main0.jpg;;Main;Indent 0;b5ae633c-2a0f-4be2-b750-98e1f55cdade
olw;324.0;3095472.0;22979000000000.0;1645.0;711309000000000.0;1238006.0;2.0;10.0;Program4.jpg;;Program;Indent 4;b5ae633c-2a0f-4be2-b750-98e1f55cdade
olw;333.0;3703333.0;209135000000000.0;162.0;774497000000000.0;1070033.0;3.0;3.0;Do8.jpg;;Do;Indent 8;b5ae633c-2a0f-4be2-b750-98e1f55cdade
ow;260.0;3787162.0;181465000000000.0;1495.0;687239000000000.0;1110712.0;0.0;13.0;Test2.jpg;;Test;Indent 2;3bf46f0d-cd2a-4b1a-aff9-a2859b4fc191
ow;479.0;3844425.0;183079000000000.0;148.0;703835000000000.0;1218214.0;1.0;4.0;Main0.jpg;;Main;Indent 0;3bf46f0d-cd2a-4b1a-aff9-a2859b4fc191
ow;256.0;3478261.0;21022265625.0;150.0;731209000000000.0;109368.0;2.0;10.0;Program4.jpg;;Program;Indent 4;3bf46f0d-cd2a-4b1a-aff9-a2859b4fc191
ow;245.0;4012184.0;188665000000000.0;164.0;75696000000000.0;9874747.0;3.0;3.0;Do8.jpg;;Do;Indent 8;3bf46f0d-cd2a-4b1a-aff9-a2859b4fc191
pjv;162.0;2738522.0;194191000000000.0;149.0;531797000000000.0;1124897.0;0.0;13.0;Test2.jpg;;Test;Indent 2;b76a6815-227b-44ba-8df1-66ffc969d6f6
pjv;378.0;3210627.0;169050000000000.0;1245.0;542757000000000.0;1559436.0;1.0;4.0;Main0.jpg;;Main;Indent 0;b76a6815-227b-44ba-8df1-66ffc969d6f6
pjv;341.0;3019516.0;175733000000000.0;135.0;530629000000000.0;1193577.0;2.0;10.0;Program4.jpg;;Program;Indent 4;b76a6815-227b-44ba-8df1-66ffc969d6f6
pjv;253.0;2616664.0;172704000000000.0;120.0;451907000000000.0;1163538.0;3.0;3.0;Do8.jpg;;Do;Indent 8;b76a6815-227b-44ba-8df1-66ffc969d6f6
pv;201.0;3414419.0;186607000000000.0;151.0;637154000000000.0;1254434.0;0.0;13.0;Test2.jpg;;Test;Indent 2;43976856-0666-41bc-bd2a-a8f396ef561c
pv;538.0;3552304.0;19560800000000.0;165.0;694858000000000.0;1287326.0;1.0;4.0;Main0.jpg;;Main;Indent 0;43976856-0666-41bc-bd2a-a8f396ef561c
pv;268.0;2824918.0;23119800000000.0;1655.0;653115000000000.0;1161138.0;2.0;10.0;Program4.jpg;;Program;Indent 4;43976856-0666-41bc-bd2a-a8f396ef561c
pv;189.0;3363588.0;188984000000000.0;147.0;635665000000000.0;1084448.0;3.0;3.0;Do8.jpg;;Do;Indent 8;43976856-0666-41bc-bd2a-a8f396ef561c
qoz;263.0;3546577.0;196167000000000.0;164.0;695723000000000.0;1378702.0;0.0;13.0;Test2.jpg;;Test;Indent 2;b8fecf79-c297-44f6-9354-bed8bca51fee
qoz;612.0;3639348.0;184721000000000.0;164.0;67226200000000.0;1640993.0;1.0;4.0;Main0.jpg;;Main;Indent 0;b8fecf79-c297-44f6-9354-bed8bca51fee
qoz;363.0;3645091.0;196691000000000.0;168.0;716958000000000.0;1332005.0;2.0;10.0;Program4.jpg;;Program;Indent 4;b8fecf79-c297-44f6-9354-bed8bca51fee
